phase,pc,lag_ms,n_subjects,total_subjects_in_dir,candidate_edges,reported_edges,dominant_flow_src,dominant_flow_dst,dominant_flow_count,dominant_flow_di,process_label,process_desc
LiftOff__Replace,pc1,50,12,12,11,11,Parietal,Parietal,6,0.0,WITHIN PARIETAL SENSOR GROUP,Dominant reported edges connect sensors within the parietal group.
FirstDigitTouch__BothStartLoadPhase,pc2,200,12,12,10,10,Frontal,Parietal,5,1.0,FRONTAL TO PARIETAL SENSOR FLOW,Dominant reported edges run from the frontal to the parietal sensor group.
LiftOff__Replace,pc3,50,12,12,9,9,Parietal,Occipital,3,1.0,PARIETAL TO OCCIPITAL SENSOR FLOW,Dominant reported edges run from the parietal to the occipital sensor group.
BothStartLoadPhase__LiftOff,pc2,200,12,12,8,8,Frontal,Parietal,4,1.0,FRONTAL TO PARIETAL SENSOR FLOW,Dominant reported edges run from the frontal to the parietal sensor group.
BothStartLoadPhase__LiftOff,pc1,50,12,12,8,8,Parietal,Parietal,3,0.0,WITHIN PARIETAL SENSOR GROUP,Dominant reported edges connect sensors within the parietal group.
FirstDigitTouch__BothStartLoadPhase,pc1,50,12,12,8,8,Parietal,Parietal,2,0.0,WITHIN PARIETAL SENSOR GROUP,Dominant reported edges connect sensors within the parietal group.
HandStart__FirstDigitTouch,pc2,200,12,12,7,7,Frontal,Parietal,3,1.0,FRONTAL TO PARIETAL SENSOR FLOW,Dominant reported edges run from the frontal to the parietal sensor group.
LiftOff__Replace,pc1,200,12,12,7,7,Parietal,Parietal,3,0.0,WITHIN PARIETAL SENSOR GROUP,Dominant reported edges connect sensors within the parietal group.
Replace__BothReleased,pc1,0,12,12,7,7,Frontal,Occipital,3,1.0,FRONTAL TO OCCIPITAL SENSOR FLOW,Dominant reported edges run from the frontal to the occipital sensor group.
Replace__BothReleased,pc2,150,12,12,7,7,Frontal,Frontal,3,0.0,WITHIN FRONTAL SENSOR GROUP,Dominant reported edges connect sensors within the frontal group.
BothStartLoadPhase__LiftOff,pc1,200,12,12,7,7,Other,Frontocentral,2,1.0,OTHER TO FRONTOCENTRAL SENSOR FLOW,Dominant reported edges run from the other to the frontocentral sensor group.
LiftOff__Replace,pc2,200,12,12,7,7,Frontal,Frontocentral,2,1.0,FRONTAL TO FRONTOCENTRAL SENSOR FLOW,Dominant reported edges run from the frontal to the frontocentral sensor group.
HandStart__FirstDigitTouch,pc2,0,12,12,6,6,Frontocentral,Frontal,3,0.5,FRONTOCENTRAL TO FRONTAL SENSOR FLOW,Dominant reported edges run from the frontocentral to the frontal sensor group.
LiftOff__Replace,pc2,0,12,12,6,6,Frontocentral,Frontal,3,1.0,FRONTOCENTRAL TO FRONTAL SENSOR FLOW,Dominant reported edges run from the frontocentral to the frontal sensor group.
FirstDigitTouch__BothStartLoadPhase,pc1,200,12,12,6,6,Other,Frontocentral,2,1.0,OTHER TO FRONTOCENTRAL SENSOR FLOW,Dominant reported edges run from the other to the frontocentral sensor group.
Replace__BothReleased,pc2,50,12,12,6,6,Frontal,Frontal,2,0.0,WITHIN FRONTAL SENSOR GROUP,Dominant reported edges connect sensors within the frontal group.
LiftOff__Replace,pc2,50,12,12,5,5,Frontal,Parietal,4,1.0,FRONTAL TO PARIETAL SENSOR FLOW,Dominant reported edges run from the frontal to the parietal sensor group.
Replace__BothReleased,pc3,200,12,12,5,5,Frontal,Parietal,4,1.0,FRONTAL TO PARIETAL SENSOR FLOW,Dominant reported edges run from the frontal to the parietal sensor group.
BothStartLoadPhase__LiftOff,pc2,0,12,12,5,5,Frontocentral,Frontal,2,1.0,FRONTOCENTRAL TO FRONTAL SENSOR FLOW,Dominant reported edges run from the frontocentral to the frontal sensor group.
BothStartLoadPhase__LiftOff,pc3,0,12,12,5,5,Frontal,Other,2,1.0,FRONTAL TO OTHER SENSOR FLOW,Dominant reported edges run from the frontal to the other sensor group.
